,Rank,Game,Month,Year_x,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,Unnamed: 0,Title,Year_y,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
347,65,yookalaylee,4,2017,672344,27601 hours,36126,413,4491,935,38,24.36,,,,,,,,,
349,106,cosmos,4,2017,333310,423 hours,20325,25,79,463,0,787.97,,,,,,,,,
350,113,nba 2k16,4,2017,313366,14422 hours,4961,62,2775,435,20,21.73,,,,,,,,,
351,121,sniper ghost warrior 3,4,2017,286132,3678 hours,32466,67,1039,397,5,77.8,,,,,,,,,
353,128,kindergarten,4,2017,251621,426 hours,33777,5,135,349,0,590.66,,,,,,,,,
354,143,disc jam,4,2017,199793,2886 hours,36877,25,976,277,4,69.23,,,,,,,,,
356,151,the king of fighters14,4,2017,185499,4479 hours,8417,30,624,257,6,41.42,,,,,,,,,
357,158,skyforge,4,2017,173751,35831 hours,44226,142,5370,241,49,4.85,,,,,,,,,
358,162,syberia 3,4,2017,164992,3191 hours,26775,86,406,229,4,51.71,,,,,,,,,
359,164,wwe 2k17,4,2017,161982,18262 hours,5316,91,2881,225,25,8.87,,,,,,,,,
360,173,dragon ball z dokkan battle,4,2017,148771,3972 hours,6101,25,393,206,5,37.45,,,,,,,,,
361,183,guilty gear xrd revelator,4,2017,137122,4004 hours,3736,19,735,190,5,34.25,,,,,,,,,
362,194,dropzone,4,2017,129050,989 hours,19968,9,234,179,1,130.49,,,,,,,,,
363,199,parappa the rapper,4,2017,124096,373 hours,38532,8,175,172,0,332.7,,,,,,,,,
364,200,rpg maker,4,2017,123731,1223 hours,2891,11,192,172,1,101.17,,,,,,,,,
365,40,the surge,5,2017,1425920,30448 hours,48444,365,5214,1919,40,46.83,,,,,,,,,
367,98,warhammer 40000 dawn of war 3,5,2017,426220,12320 hours,7960,69,1270,573,16,34.6,,,,,,,,,
368,104,immortal redneck,5,2017,402083,4471 hours,39176,29,923,541,6,89.93,,,,,,,,,
370,120,nba playgrounds,5,2017,299213,6621 hours,39807,96,2684,402,8,45.19,,,,,,,,,
372,129,tekken 7 fated retribution,5,2017,259581,1205 hours,18111,8,72,349,1,215.42,,,,,,,,,
373,134,super senso,5,2017,245913,455 hours,18940,6,60,330,0,540.47,,,,,,,,,
374,145,mass effect andromeda,5,2017,218641,19242 hours,11951,64,2830,294,25,11.36,,,,,,,,,
377,152,the long journey home,5,2017,200259,908 hours,28972,46,227,269,1,220.55,,,,,,,,,
379,159,mad max,5,2017,185738,4604 hours,14353,26,1159,249,6,40.34,,,,,,,,,
380,160,cat goes fishing,5,2017,185088,451 hours,16283,7,167,249,0,410.39,,,,,,,,,
381,165,tropico 5,5,2017,179152,1258 hours,9216,8,348,241,1,142.41,,,,,,,,,
382,171,the infectious madness of doctor dekker,5,2017,162777,589 hours,33579,8,119,219,0,276.36,,,,,,,,,
383,184,poku00e9mon trading card game online,5,2017,150852,8807 hours,2543,37,1073,203,11,17.13,,,,,,,,,
384,189,strafe,5,2017,145468,2360 hours,11783,68,791,195,3,61.64,,,,,,,,,
385,194,use your words,5,2017,137012,1155 hours,24385,10,426,184,1,118.63,,,,,,,,,
386,195,fire emblem echoes shadows of valentia,5,2017,136861,2531 hours,8495,36,232,184,3,54.07,,,,,,,,,
387,197,ben and ed blood party,5,2017,133973,213 hours,60235,9,99,180,0,628.98,,,,,,,,,
388,7,e3 2017,6,2017,14332396,27200 hours,1105343,2142,5199,19933,37,526.93,,,,,,,,,
389,86,arms,6,2017,468819,9200 hours,40901,282,2145,652,12,50.96,,,,,,,,,
390,107,forts,6,2017,329893,1179 hours,42895,13,298,458,1,279.81,,,,,,,,,
392,111,passpartout the starving artist,6,2017,318085,1424 hours,50975,13,569,442,1,223.37,,,,,,,,,
393,118,mystery science theater 3000,6,2017,286391,142 hours,8044,4,12,398,0,2016.84,,,,,,,,,
394,134,mlb the show 17,6,2017,229519,8194 hours,14378,31,3694,319,11,28.01,,,,,,,,,
395,138,get even,6,2017,222109,2939 hours,37566,46,767,308,4,75.57,,,,,,,,,
397,143,spongebob squarepants battle for bikini bottom,6,2017,206120,1171 hours,26601,9,110,286,1,176.02,,,,,,,,,
398,144,ys viii lacrimosa of dana,6,2017,202881,2996 hours,5146,22,143,282,4,67.72,,,,,,,,,
399,153,domina,6,2017,187996,3135 hours,23342,27,908,261,4,59.97,,,,,,,,,
400,154,starcraft brood war,6,2017,184606,11557 hours,11407,31,850,256,16,15.97,,,,,,,,,
402,175,perception,6,2017,161885,1891 hours,36938,16,703,225,2,85.61,,,,,,,,,
403,176,final fantasy 5,6,2017,161702,6960 hours,1861,54,541,224,9,23.23,,,,,,,,,
404,177,die young,6,2017,160927,625 hours,36777,9,176,223,0,257.48,,,,,,,,,
406,182,rock band 4,6,2017,157097,12804 hours,11390,49,2251,218,17,12.27,,,,,,,,,
407,187,conarium,6,2017,144839,1541 hours,48592,19,441,201,2,93.99,,,,,,,,,
408,188,marvel future fight,6,2017,144674,610 hours,17449,5,47,201,0,237.17,,,,,,,,,
411,76,earthbound,7,2017,726111,2697 hours,159596,20,304,977,3,269.23,,,,,,,,,
413,86,the legend of zelda twilight princess,7,2017,589551,1146 hours,142814,14,151,793,1,514.44,,,,,,,,,
414,91,dream daddy a dad dating simulator,7,2017,544538,11682 hours,30084,256,3257,732,15,46.61,,,,,,,,,
415,97,angvik,7,2017,506384,2610 hours,16666,25,684,681,3,194.02,,,,,,,,,
416,102,kingdom hearts 2,7,2017,477399,1771 hours,148031,18,336,642,2,269.56,,,,,,,,,
418,123,ultimate marvel vs capcom 3,7,2017,386826,1749 hours,88274,11,805,520,2,221.17,,,,,,,,,
419,125,madden nfl 17,7,2017,383546,77453 hours,10848,278,12612,516,104,4.95,,,,,,,,,
420,126,blazblue central fiction,7,2017,382542,1827 hours,107546,19,809,514,2,209.38,,,,,,,,,
421,131,tetris the grand master,7,2017,354007,231 hours,148613,9,40,476,0,1532.5,,,,,,,,,
422,136,the walking dead a new frontier,7,2017,345058,4558 hours,24093,20,1134,464,6,75.7,,,,,,,,,
423,139,next day survival,7,2017,340346,8166 hours,41708,73,1744,458,10,41.68,,,,,,,,,
424,143,resident evil code veronica x,7,2017,319068,579 hours,111628,9,209,429,0,551.07,,,,,,,,,
425,144,kingdoms and castles,7,2017,318350,3284 hours,50067,42,931,428,4,96.94,,,,,,,,,
426,151,ape escape,7,2017,299969,556 hours,163153,11,72,403,0,539.51,,,,,,,,,
427,152,mxm,7,2017,298005,18334 hours,6445,66,2065,401,24,16.25,,,,,,,,,
428,153,metroid fusion,7,2017,297286,592 hours,158618,14,142,400,0,502.17,,,,,,,,,
429,158,azure striker gunvolt 2,7,2017,291374,86 hours,142476,8,20,392,0,3388.07,,,,,,,,,
430,160,metroid prime,7,2017,290485,1491 hours,153077,15,217,390,2,194.83,,,,,,,,,
431,161,super monkey ball deluxe,7,2017,289399,154 hours,182262,14,32,389,0,1879.21,,,,,,,,,
432,168,jet set radio future,7,2017,269283,350 hours,105679,9,44,362,0,769.38,,,,,,,,,
433,169,spyro year of the dragon,7,2017,265172,733 hours,157711,15,135,356,0,361.76,,,,,,,,,
435,175,startropics,7,2017,255166,133 hours,150150,14,40,343,0,1918.54,,,,,,,,,
437,179,kirby planet robobot,7,2017,249013,67 hours,145781,11,22,335,0,3716.61,,,,,,,,,
440,188,house party,7,2017,232757,374 hours,45417,9,167,313,0,622.34,,,,,,,,,
443,194,luigis mansion,7,2017,222538,1978 hours,146962,13,284,299,2,112.51,,,,,,,,,
445,198,poi,7,2017,218089,153 hours,111219,10,44,293,0,1425.42,,,,,,,,,
446,54,dark and light,8,2017,1144890,37202 hours,40894,152,2766,1540,50,30.77,,,,,,,,,
447,61,gamescom 2017,8,2017,920916,1385 hours,161292,52,188,1239,1,664.92,,,,,,,,,
449,104,anime,8,2017,462889,1244 hours,24296,74,440,623,1,372.1,,,,,,,,,
450,124,lawbreakers,8,2017,342695,30342 hours,8497,247,6705,461,40,11.29,,,,,,,,,
451,128,gigantic,8,2017,326191,22062 hours,20687,120,4415,439,29,14.79,,,,,,,,,
452,129,car mechanic simulator 2018,8,2017,320046,9280 hours,36763,45,1510,430,12,34.49,,,,,,,,,
453,130,agents of mayhem,8,2017,318873,9767 hours,33811,126,1927,429,13,32.65,,,,,,,,,
454,156,exploration,8,2017,236209,108 hours,90872,13,21,317,0,2187.12,,,,,,,,,
455,157,uncharted 4 a thiefs end,8,2017,234356,20074 hours,11747,60,3796,315,27,11.67,,,,,,,,,
456,159,age of empires ii edition,8,2017,226311,4570 hours,23859,21,1001,304,6,49.52,,,,,,,,,
457,163,beyond two souls,8,2017,216527,906 hours,13982,6,344,291,1,238.99,,,,,,,,,
458,184,heavy rain,8,2017,172927,716 hours,16383,6,267,232,0,241.52,,,,,,,,,
459,185,prison architect,8,2017,172287,3264 hours,3904,16,716,231,4,52.78,,,,,,,,,
460,199,just dance 2017,8,2017,152843,1216 hours,21879,8,322,205,1,125.69,,,,,,,,,
461,69,mario rabbids kingdom battle,9,2017,717280,14579 hours,12316,130,1823,997,20,49.2,,,,,,,,,
462,86,uncharted the lost legacy,9,2017,521608,5508 hours,24883,31,2990,725,7,94.7,,,,,,,,,
463,94,the escapists 2,9,2017,429925,6090 hours,13433,41,1723,597,8,70.6,,,,,,,,,
464,100,destiny,9,2017,417840,74816 hours,12425,789,17135,581,104,5.58,,,,,,,,,
465,116,monopoly,9,2017,355772,355 hours,45570,8,152,494,0,1002.17,,,,,,,,,
468,125,comedy night,9,2017,307848,4817 hours,32797,32,1524,428,6,63.91,,,,,,,,,
469,138,sonic mania,9,2017,266591,16645 hours,36144,117,5232,370,23,16.02,,,,,,,,,
470,139,white day a labyrinth named school,9,2017,258136,2911 hours,34144,22,469,359,4,88.68,,,,,,,,,
472,144,rock of ages 2 bigger boulder,9,2017,247175,859 hours,30078,8,349,343,1,287.75,,,,,,,,,
474,148,blood bowl 2,9,2017,233113,5971 hours,6594,27,631,324,8,39.04,,,,,,,,,
475,150,nba 2k17,9,2017,232385,38967 hours,9094,228,9378,323,54,5.96,,,,,,,,,
476,151,everybodys golf,9,2017,230768,7111 hours,42271,47,1481,320,9,32.45,,,,,,,,,
477,160,absolver,9,2017,215862,19517 hours,4272,207,4778,300,27,11.06,,,,,,,,,
478,163,holdfast nations at war,9,2017,207189,1367 hours,43613,26,357,288,1,151.56,,,,,,,,,
480,174,cook serve delicious 2,9,2017,190415,3141 hours,21068,48,788,264,4,60.62,,,,,,,,,
483,186,nhl 18,9,2017,174339,8971 hours,1343,61,2456,242,12,19.43,,,,,,,,,
486,62,twitchcon 2017,10,2017,878473,1602 hours,86285,89,411,1182,2,548.36,,,,,,,,,
489,90,home sweet home,10,2017,536146,5292 hours,40288,35,1322,721,7,101.31,,,,,,,,,
490,99,gold rush the game,10,2017,474402,13565 hours,42726,105,1587,638,18,34.97,,,,,,,,,
493,137,smite tactics,10,2017,276223,8537 hours,4204,29,712,371,11,32.36,,,,,,,,,
494,143,tomb raider 2,10,2017,261718,941 hours,17637,12,126,352,1,278.13,,,,,,,,,
498,173,romance of the three kingdoms13,10,2017,195258,1560 hours,3484,11,68,262,2,125.17,,,,,,,,,
499,175,harvester,10,2017,193455,386 hours,12953,5,69,260,0,501.18,,,,,,,,,
500,177,bomber crew,10,2017,185586,2923 hours,40036,31,650,249,3,63.49,,,,,,,,,
501,178,duke nukem forever,10,2017,180847,187 hours,18349,7,45,243,0,967.1,,,,,,,,,
502,180,party hard tycoon,10,2017,178270,216 hours,31892,7,80,239,0,825.32,,,,,,,,,
504,192,golf story,10,2017,160921,1718 hours,41518,18,374,216,2,93.67,,,,,,,,,
505,197,call of duty infinite warfare,10,2017,155986,43005 hours,2261,126,10222,209,57,3.63,,,,,,,,,
506,199,hob,10,2017,153619,4718 hours,39805,43,986,206,6,32.56,,,,,,,,,
507,98,mu legend,11,2017,509359,34037 hours,6090,276,3227,708,47,14.96,,,,,,,,,
508,101,elex,11,2017,485718,12087 hours,15451,78,1352,675,16,40.19,,,,,,,,,
509,103,poku00e9mon sunmoon,11,2017,473383,15432 hours,5183,66,1616,658,21,30.68,,,,,,,,,
510,134,american truck simulator,11,2017,294246,14678 hours,43034,79,2342,409,20,20.05,,,,,,,,,
511,139,hidden agenda,11,2017,277274,1291 hours,15588,18,478,385,1,214.77,,,,,,,,,
513,153,sonic forces,11,2017,235696,11547 hours,34692,233,3008,327,16,20.41,,,,,,,,,
514,157,girls frontline,11,2017,230468,7916 hours,1403,54,493,320,11,29.11,,,,,,,,,
515,163,mudrunner,11,2017,219667,10660 hours,36489,86,2194,305,14,20.61,,,,,,,,,
516,184,werewolves u72fcu4ebau6bba,11,2017,174009,702 hours,6460,6,26,242,0,247.88,,,,,,,,,
517,191,prime world,11,2017,156444,5968 hours,882,22,255,217,8,26.21,,,,,,,,,
518,195,mega man x2,11,2017,148516,631 hours,2928,5,85,206,0,235.37,,,,,,,,,
521,199,hackgu last recode,11,2017,145350,35258 hours,1222,258,3174,202,49,4.12,,,,,,,,,
522,200,crossout,11,2017,144305,9943 hours,14488,35,1616,200,13,14.51,,,,,,,,,
523,71,hello neighbor,12,2017,784796,5950 hours,49840,70,1618,1056,8,131.9,,,,,,,,,
524,84,vainglory,12,2017,680988,6987 hours,43162,22,687,916,9,97.47,,,,,,,,,
525,109,marvel vs capcom infinite,12,2017,450974,5865 hours,17596,53,1688,606,7,76.89,,,,,,,,,
526,121,digimon story cyber sleuth hackers memory,12,2017,347393,2029 hours,10314,23,96,467,2,171.21,,,,,,,,,
527,132,lineage 2 revolution,12,2017,294091,13137 hours,28196,42,950,395,17,22.39,,,,,,,,,
531,154,the idolmaster stella stage,12,2017,245314,2728 hours,16440,35,192,330,3,89.92,,,,,,,,,
532,159,legion td 2,12,2017,236315,6349 hours,37519,32,737,318,8,37.22,,,,,,,,,
533,167,ragnarok online mobile,12,2017,215825,5481 hours,7603,25,272,290,7,39.38,,,,,,,,,
534,168,spellforce 3,12,2017,210799,5932 hours,11538,84,769,283,7,35.54,,,,,,,,,
535,169,need for speed payback,12,2017,209562,11243 hours,10081,49,2252,282,15,18.64,,,,,,,,,
536,178,ylands,12,2017,199534,10320 hours,33598,56,1625,268,13,19.33,,,,,,,,,
537,179,killing floor 2,12,2017,195322,19286 hours,27065,91,5342,262,25,10.13,,,,,,,,,
539,185,u014ckami,12,2017,181539,19273 hours,29429,148,3305,244,25,9.42,,,,,,,,,
540,189,ultimate chicken horse,12,2017,178184,2531 hours,35821,20,1228,239,3,70.4,,,,,,,,,
541,190,stationeers,12,2017,177923,3336 hours,7329,24,350,239,4,53.33,,,,,,,,,
542,197,steep,12,2017,163904,4717 hours,7951,28,1773,220,6,34.75,,,,,,,,,
543,199,dreadnought,12,2017,163610,4758 hours,7277,23,615,220,6,34.39,,,,,,,,,
544,107,metroid prime 3 corruption,1,2018,477206,136 hours,135785,13,24,642,0,3508.87,,,,,,,,,
545,129,super mario galaxy,1,2018,359147,1686 hours,138156,13,194,483,2,213.02,,,,,,,,,
546,131,sonic advance 3,1,2018,356218,41 hours,148483,12,19,479,0,8688.24,,,,,,,,,
547,133,super mario world 2 yoshis island,1,2018,342177,1193 hours,145421,12,251,460,1,286.82,,,,,,,,,
549,140,donkey kong country,1,2018,329205,1304 hours,150151,12,405,443,1,252.46,,,,,,,,,
550,143,life is feudal mmo,1,2018,314881,12852 hours,4627,45,945,423,17,24.5,,,,,,,,,
551,144,fzero gx,1,2018,313739,127 hours,161002,9,45,422,0,2470.39,,,,,,,,,
552,146,paragon,1,2018,300161,39737 hours,3523,109,4467,403,53,7.55,,,,,,,,,
553,147,metal gearid 3 snake eater,1,2018,299747,990 hours,146322,11,140,403,1,302.77,,,,,,,,,
555,157,super punchout,1,2018,284811,110 hours,147152,4,50,383,0,2589.19,,,,,,,,,
556,167,superman,1,2018,263922,46 hours,132672,9,15,355,0,5737.43,,,,,,,,,
557,168,rayman,1,2018,262525,223 hours,110789,13,46,353,0,1177.24,,,,,,,,,
558,172,gang beasts,1,2018,258750,7568 hours,36118,39,4007,348,10,34.19,,,,,,,,,
559,174,rusty lake paradise,1,2018,257303,1488 hours,12456,18,392,346,2,172.92,,,,,,,,,
561,177,lineage m,1,2018,251364,5648 hours,6772,25,241,338,7,44.5,,,,,,,,,
562,178,blood ii the chosen,1,2018,249351,53 hours,107359,8,15,335,0,4704.74,,,,,,,,,
563,179,mega man zero 3,1,2018,248092,73 hours,144947,9,23,333,0,3398.52,,,,,,,,,
564,182,secret of evermore,1,2018,245797,562 hours,117085,11,51,330,0,437.36,,,,,,,,,
566,186,super monkey ball,1,2018,241350,311 hours,148741,11,65,324,0,776.05,,,,,,,,,
567,189,littlebigplanet 2,1,2018,240281,73 hours,121102,8,19,323,0,3291.52,,,,,,,,,
568,194,fire emblem the sacred stones,1,2018,234106,760 hours,132578,11,134,315,1,308.03,,,,,,,,,
569,195,farmers dynasty,1,2018,234041,1366 hours,24478,9,179,314,1,171.33,,,,,,,,,
572,28,shadow of the colossus,2,2018,3071076,43726 hours,69742,521,10414,4576,65,70.23,,,,,,,,,
573,67,metal gear survive,2,2018,790974,31374 hours,44890,331,4957,1178,46,25.21,,,,,,,,,
574,98,we were here too,2,2018,502857,5331 hours,39122,47,1735,749,7,94.33,,,,,,,,,
576,106,secret of mana,2,2018,430609,25255 hours,9936,407,3907,641,37,17.05,,,,,,,,,
577,124,remothered tormented fathers,2,2018,306195,3066 hours,10964,32,839,456,4,99.87,,,,,,,,,
578,129,desolate,2,2018,300153,7800 hours,37986,68,1880,447,11,38.48,,,,,,,,,
581,135,railway empire,2,2018,276041,2255 hours,22910,20,390,411,3,122.41,,,,,,,,,
582,144,descenders,2,2018,248957,1349 hours,43300,24,484,371,2,184.55,,,,,,,,,
584,168,wwe 2k18,2,2018,204194,17235 hours,6821,63,2851,304,25,11.85,,,,,,,,,
585,169,dynasty warriors 9,2,2018,202739,13192 hours,7026,129,1786,302,19,15.37,,,,,,,,,
588,176,mount your friends 3d a hard man is good to climb,2,2018,190269,274 hours,33620,13,157,283,0,694.41,,,,,,,,,
590,179,tower unite,2,2018,187536,602 hours,16372,6,210,279,0,311.52,,,,,,,,,
591,181,abandon ship,2,2018,186349,1426 hours,11183,36,392,277,2,130.68,,,,,,,,,
592,42,surviving mars,3,2018,1854455,34089 hours,36527,451,4219,2495,45,54.4,,,,,,,,,
593,48,fist of the north star lost paradise,3,2018,1551163,6573 hours,50661,103,397,2087,8,235.99,,,,,,,,,
594,60,dungreed,3,2018,1187313,12375 hours,34086,78,2398,1597,16,95.94,,,,,,,,,
596,102,heroes of hammerwatch,3,2018,482577,9716 hours,6490,37,1256,649,13,49.67,,,,,,,,,
597,119,kirby star allies,3,2018,389567,9317 hours,24135,186,1985,524,12,41.81,,,,,,,,,
598,123,attack on titan 2,3,2018,380727,9741 hours,30384,79,1522,512,13,39.09,,,,,,,,,
599,131,sos,3,2018,324912,14148 hours,12903,57,1728,437,19,22.97,,,,,,,,,
600,132,mister rogers neighborhood,3,2018,323629,326 hours,10315,5,29,435,0,992.73,,,,,,,,,
601,146,ghost of a tale,3,2018,276807,6022 hours,49826,51,1214,372,8,45.97,,,,,,,,,
602,148,bio inc redemption,3,2018,274119,794 hours,31723,9,216,368,1,345.24,,,,,,,,,
603,149,pizza connection 3,3,2018,273344,1588 hours,35335,65,390,367,2,172.13,,,,,,,,,
604,153,middleearth shadow of war,3,2018,265149,5284 hours,18900,24,1784,356,7,50.18,,,,,,,,,
605,158,god of war collection,3,2018,252401,884 hours,9432,6,92,339,1,285.52,,,,,,,,,
607,167,farm together,3,2018,239949,5592 hours,29903,25,1099,322,7,42.91,,,,,,,,,
608,173,devil may cry collection,3,2018,236415,8296 hours,16176,71,2526,318,11,28.5,,,,,,,,,
609,179,the council,3,2018,229122,1956 hours,29687,39,674,308,2,117.14,,,,,,,,,
611,185,sword art online fatal bullet,3,2018,223440,24687 hours,7045,142,4127,300,33,9.05,,,,,,,,,
613,194,the jackbox party pack 4,3,2018,204423,7946 hours,29321,50,2138,275,10,25.73,,,,,,,,,
614,196,zero escape nine hours nine persons nine doors,3,2018,197213,661 hours,7155,7,62,265,0,298.36,,,,,,,,,
615,199,rules of survival,3,2018,192193,32075 hours,5638,80,5911,258,43,5.99,,,,,,,,,
616,48,god of war 3,4,2018,1417791,7880 hours,35215,65,2408,1971,10,179.92,,,,,,,,,
617,51,spyparty,4,2018,1354573,5478 hours,79292,45,1350,1883,7,247.28,,,,,,,,,
618,59,golfing over it with alva majo,4,2018,1104220,6938 hours,43527,103,2668,1535,9,159.16,,,,,,,,,
619,103,god of war 2,4,2018,536207,2446 hours,24521,20,314,745,3,219.22,,,,,,,,,
620,109,tera,4,2018,493928,83766 hours,5927,285,13985,686,116,5.9,,,,,,,,,
621,110,pc building simulator,4,2018,490206,12829 hours,45622,110,3296,681,17,38.21,,,,,,,,,
623,118,yakuza 6 the song of life,4,2018,427795,18599 hours,9880,207,2171,594,25,23.0,,,,,,,,,
624,122,maelstrom,4,2018,412819,5043 hours,38032,51,916,574,7,81.86,,,,,,,,,
627,134,late shift,4,2018,375133,2481 hours,26704,33,1034,521,3,151.2,,,,,,,,,
628,136,heroes of might and magic v tribes of the east,4,2018,371366,706 hours,13510,9,100,516,0,526.01,,,,,,,,,
629,175,halo online,4,2018,226027,15139 hours,23035,304,5186,314,21,14.93,,,,,,,,,
630,176,soulworker,4,2018,225452,25383 hours,7240,72,2839,313,35,8.88,,,,,,,,,
631,186,beholder,4,2018,209247,1492 hours,7740,14,372,291,2,140.25,,,,,,,,,
633,194,the swords of ditto,4,2018,199384,4802 hours,23183,120,1203,277,6,41.52,,,,,,,,,
635,86,radical heights,5,2018,761364,18271 hours,118141,123,5007,1024,24,41.67,,,,,,,,,
637,111,agony,5,2018,487171,6792 hours,47635,342,2415,655,9,71.73,,,,,,,,,
641,141,total war saga thrones of britannia,5,2018,377256,8456 hours,18461,123,1143,507,11,44.61,,,,,,,,,
642,147,yugioh forbidden memories,5,2018,343855,4201 hours,2839,49,257,462,5,81.85,,,,,,,,,
643,148,weed shop 2,5,2018,343217,3011 hours,29053,28,444,461,4,113.99,,,,,,,,,
644,160,xenoblade chronicles 2,5,2018,291652,5156 hours,13177,19,491,392,6,56.57,,,,,,,,,
646,168,northgard,5,2018,267650,3836 hours,17243,25,806,360,5,69.77,,,,,,,,,
647,174,stay,5,2018,245733,538 hours,15028,8,133,330,0,456.75,,,,,,,,,
648,176,judgment apocalypse survival simulation,5,2018,241637,2042 hours,25847,21,283,325,2,118.33,,,,,,,,,
650,185,shoppe keep 2,5,2018,218392,2105 hours,35249,45,594,293,2,103.75,,,,,,,,,
652,194,dungeon hunter champions,5,2018,202910,5227 hours,21603,24,369,273,7,38.82,,,,,,,,,
653,195,pixark,5,2018,202314,5237 hours,7396,24,588,272,7,38.63,,,,,,,,,
654,196,black squad,5,2018,201693,18451 hours,15718,61,3002,271,24,10.93,,,,,,,,,
655,7,e3 2018,6,2018,23459443,64970 hours,1817345,5125,13346,32627,90,361.08,,,,,,,,,
656,37,vampyr,6,2018,2922646,91867 hours,114271,1223,13170,4064,127,31.81,,,,,,,,,
657,54,e3,6,2018,1534310,3799 hours,566191,1547,2063,2133,5,403.87,,,,,,,,,
658,91,baldis basics in education and learning,6,2018,781035,2573 hours,38533,15,1573,1086,3,303.55,,,,,,,,,
659,93,crsed foad,6,2018,773302,12968 hours,58647,126,6737,1075,18,59.63,,,,,,,,,
660,94,bless online,6,2018,761882,50381 hours,9552,335,3964,1059,70,15.12,,,,,,,,,
661,102,bethesda at e3,6,2018,653729,504 hours,388286,218,251,909,0,1297.08,,,,,,,,,
663,120,moonlighter,6,2018,494371,20585 hours,12064,144,4103,687,28,24.02,,,,,,,,,
665,138,hot lava,6,2018,422810,3772 hours,42570,34,1410,588,5,112.09,,,,,,,,,
666,139,the legend of zelda four swords adventures,6,2018,417575,220 hours,130420,13,45,580,0,1898.07,,,,,,,,,
668,156,the legend of zelda majoras mask 3d,6,2018,357518,352 hours,153067,11,61,497,0,1015.68,,,,,,,,,
669,157,paper mario,6,2018,346484,2003 hours,137379,42,298,481,2,172.98,,,,,,,,,
670,163,bus simulator 18,6,2018,334927,5019 hours,37341,86,1025,465,6,66.73,,,,,,,,,
671,164,yakuza kiwami,6,2018,332508,2358 hours,15575,12,377,462,3,141.01,,,,,,,,,
672,172,the legend of zelda oracle of seasons,6,2018,306749,504 hours,121147,13,80,426,0,608.63,,,,,,,,,
675,180,borderlands the presequel,6,2018,287491,3450 hours,105766,19,878,399,4,83.33,,,,,,,,,
676,182,puyo puyo tetris,6,2018,284802,4975 hours,11262,20,983,396,6,57.25,,,,,,,,,
677,183,poku00e9mon quest,6,2018,284478,7272 hours,5689,48,1447,395,10,39.12,,,,,,,,,
678,184,might magic elemental guardians,6,2018,283426,5005 hours,4737,21,397,394,6,56.63,,,,,,,,,
679,185,bloons td 5,6,2018,281613,1011 hours,14922,9,382,391,1,278.55,,,,,,,,,
681,191,worlds adrift,6,2018,275518,8847 hours,11704,35,835,383,12,31.14,,,,,,,,,
682,193,banjotooie,6,2018,272135,906 hours,104527,11,131,378,1,300.37,,,,,,,,,
683,196,wizard of legend,6,2018,268391,11407 hours,13621,51,3284,373,15,23.53,,,,,,,,,
685,200,ninja gaiden black,6,2018,260118,577 hours,156016,16,147,361,0,450.81,,,,,,,,,
686,40,doctor who pinball,7,2018,2495176,544 hours,14685,3,10,3358,0,4586.72,,,,,,,,,
687,43,islands of nyne battle royale,7,2018,2274384,81053 hours,98062,790,13230,3061,109,28.06,,,,,,,,,
688,77,mario tennis aces,7,2018,1033637,11744 hours,43444,60,2452,1391,15,88.01,,,,,,,,,
689,85,the crew 2,7,2018,919794,39419 hours,33296,205,7084,1237,53,23.33,,,,,,,,,
690,86,final fantasy 6,7,2018,881723,3693 hours,151839,19,413,1186,4,238.76,,,,,,,,,
691,111,post scriptum,7,2018,628543,9431 hours,28921,142,1589,845,12,66.65,,,,,,,,,
693,125,tricky towers,7,2018,550660,1610 hours,28875,11,779,741,2,342.02,,,,,,,,,
695,147,witch it,7,2018,404501,769 hours,40537,17,332,544,1,526.01,,,,,,,,,
696,153,dungeon fighter online,7,2018,384345,12903 hours,20714,50,1005,517,17,29.79,,,,,,,,,
697,155,bully scholarship edition,7,2018,381789,1157 hours,23781,12,309,513,1,329.98,,,,,,,,,
700,159,the culling,7,2018,365588,4152 hours,22784,60,1041,492,5,88.05,,,,,,,,,
701,162,mlb the show 18,7,2018,345963,14035 hours,6028,52,2995,465,18,24.65,,,,,,,,,
702,167,earthfall,7,2018,327308,4858 hours,34510,64,1597,440,6,67.38,,,,,,,,,
703,170,maplestory m,7,2018,319414,4454 hours,18624,48,670,429,5,71.71,,,,,,,,,
704,174,exanima,7,2018,309280,1063 hours,29705,15,221,416,1,290.95,,,,,,,,,
705,179,the evil within,7,2018,297137,7628 hours,8258,26,1417,399,10,38.95,,,,,,,,,
706,180,outlast 2,7,2018,295960,8842 hours,31177,36,2966,398,11,33.47,,,,,,,,,
707,184,just dance 2018,7,2018,288456,2147 hours,11231,13,551,388,2,134.35,,,,,,,,,
708,191,home run derby vr,7,2018,269577,25 hours,120714,10,14,362,0,10783.08,,,,,,,,,
709,192,fear the wolves,7,2018,264157,3252 hours,50132,70,1279,355,4,81.23,,,,,,,,,
711,198,madden nfl 18,7,2018,253285,55945 hours,8683,215,11162,340,75,4.53,,,,,,,,,
713,39,we happy few,8,2018,2641602,45634 hours,46964,306,7679,3555,61,57.89,,,,,,,,,
714,51,nba 2k18,8,2018,1540838,110474 hours,61960,356,20172,2073,148,13.95,,,,,,,,,
